Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2022-10-21 14:01:45,false,"Arlington Walking","2.07","201","00:42:16","114","127","108","125","20:23","17:19","62","72","0.73","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","42:15.95.8","1","0.0","00:41:56","00:43:41","623","699"
Walking,2022-10-21 10:37:01,false,"Arlington Walking","1.92","191","00:38:03","106","126","112","126","19:47","17:01","112","49","0.72","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","38:03.19.7","1","0.0","00:37:55","00:38:16","605","719"
Walking,2022-10-19 14:51:21,false,"Arlington Walking","1.90","180","00:37:04","115","133","113","127","19:33","15:32","89","141","0.73","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","37:03.68.9","1","0.0","00:36:53","00:37:46","533","681"
Walking,2022-10-19 12:20:51,false,"Arlington Walking","1.85","186","00:35:42","96","115","117","130","19:18","16:09","118","43","0.71","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","35:41.93.3","1","0.0","00:35:32","00:35:59","522","640"
Walking,2022-10-18 15:21:44,false,"Arlington Walking","1.49","145","00:32:31","105","113","103","152","21:46","8:49","43","72","0.72","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","32:31.26.5","1","0.0","00:31:52","00:45:50","601","719"
Walking,2022-10-18 12:51:03,false,"Arlington Walking","1.88","188","00:37:45","99","113","113","129","20:05","16:43","102","43","0.71","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","37:45.41.9","1","0.0","00:37:13","00:48:02","526","644"
Walking,2022-10-17 14:07:33,false,"Arlington Walking","1.80","178","00:36:26","93","112","109","129","20:12","17:13","43","95","0.73","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","36:26.17.9","1","0.0","00:36:11","00:37:44","567","668"
Walking,2022-10-17 11:36:28,false,"Arlington Walking","0.99","99","00:19:33","114","123","113","127","19:50","16:26","26","52","0.72","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:33.49.9","1","0.0","00:19:22","00:21:12","589","710"
Walking,2022-10-17 10:50:21,false,"Arlington Walking","1.85","201","00:37:54","118","134","103","125","20:27","15:32","115","49","0.76","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","37:54.06.9","1","0.0","00:37:38","00:39:03","520","633"
Walking,2022-10-14 10:50:41,false,"Arlington Walking","4.86","493","01:29:23","97","146","116","135","18:23","14:22","554","541","0.75","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:29:23.05.8","1","0.0","01:29:05","01:55:58","535","680"
Walking,2022-10-13 11:47:01,false,"Arlington Walking","4.13","411","01:14:10","109","128","117","127","17:58","5:27","95","177","0.76","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:14:10.09.9","1","0.0","01:13:38","01:22:15","455","570"
Walking,2022-09-24 11:15:20,false,"Midlothian Walking","0.23","25","00:05:55.2","103","117","87","117","26:01","20:32","16","20","0.71","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:55.18","1","0.0","00:05:27","00:06:45.2","770","793"
Walking,2022-09-10 14:21:46,false,"Arlington Walking","0.51","66","00:12:40","112","139","28","117","24:50","5:16","518","371","2.28","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","12:40.36.7","1","0.0","00:11:51","00:17:25","440","581"
Walking,2022-09-04 19:56:34,false,"Eddy County Walking","0.22","30","00:06:54.2","108","117","77","171","31:29","24:10","43","7","0.66","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","06:54.23","1","0.0","00:06:36","00:08:00.2","4,325","4,414"
Walking,2022-09-04 17:14:59,false,"Eddy County Walking","0.30","34","00:09:13.8","101","114","82","112","31:18","20:23","7","36","0.63","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","09:13.83.6","1","0.0","00:08:40","01:01:18","4,396","4,457"
Walking,2022-09-04 14:10:08,false,"Walking","1.30","478","02:28:07","96","138","38","153","--","19:02","--","--","0.37","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","42:11.97.6","2","0.0","00:40:43","02:28:20","--","--"
Walking,2022-09-04 10:17:16,false,"Eddy County Walking","0.54","64","00:15:12","98","122","48","129","28:19","5:52","36","30","1.19","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","15:12.40.6","1","0.0","00:13:03","01:24:30","4,568","4,621"
Walking,2022-09-01 13:25:21,false,"Walking","4.05","341","01:27:09","104","133","111","153","21:32","16:20","--","--","0.67","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:09.93.4","5","0.0","01:19:46","01:27:09","--","--"
Walking,2022-08-30 10:30:16,false,"Arlington Walking","4.14","417","01:20:20","113","136","114","129","19:25","15:22","338","420","0.73","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:20:20.06.9","1","0.0","01:20:01","01:39:31","315","591"
Walking,2022-08-24 11:20:25,false,"Arlington Walking","2.62","274","00:52:50","99","118","110","174","20:09","16:31","535","594","0.73","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","52:49.66.7","1","0.0","00:52:39","00:53:06","471","648"
