Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2022-08-18 12:05:56,false,"Arlington Cycling","5.05","171","00:39:19","106","119","0","0","7.7","34.2","102","92","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:06.03.2","2","0.0","00:33:42","00:39:19","527","599"
Cycling,2022-08-18 10:53:13,false,"Arlington Cycling","7.86","268","01:06:30","106","134","0","0","7.1","19.6","135","148","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","31:07.43.7","2","0.0","00:56:07","01:06:32","497","583"
Cycling,2022-08-17 07:48:07,false,"Arlington Cycling","32.00","1,049","03:50:46","119","155","0","0","8.3","15.6","138","154","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","13:10.45.3","7","0.0","03:07:11","04:19:29","309","490"
Cycling,2022-08-14 13:43:45,false,"Arlington Cycling","18.00","486","01:46:04","116","129","0","0","10.2","15.2","49","62","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","17:45.85.9","4","0.0","01:44:11","01:53:21","415","473"
Cycling,2022-08-13 07:09:08,false,"Arlington Cycling","25.07","729","03:22:10","106","127","0","0","7.4","40.0","640","620","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:07.54.3","6","0.0","02:54:17","04:04:45","506","621"
Cycling,2022-08-12 07:35:33,false,"Arlington Cycling","33.70","848","03:26:40","115","135","0","0","9.8","15.7","69","125","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","24:11.87.3","7","0.0","03:14:45","03:53:42","350","434"
Cycling,2022-08-11 07:38:58,false,"Arlington Cycling","16.17","539","02:30:09","106","130","0","0","6.5","19.0","554","548","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","23:52.34.7","4","0.0","02:04:29","03:06:53","444","600"
Cycling,2022-08-10 07:54:18,false,"Arlington Cycling","19.48","545","02:22:08","108","133","0","0","8.2","15.8","223","266","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","30:30.21.9","4","0.0","02:09:50","02:32:07","449","620"
Cycling,2022-08-09 08:11:23,false,"Arlington Cycling","28.59","757","03:09:44","112","128","0","0","9.0","17.3","157","177","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","22:47.25.4","6","0.0","02:56:08","03:40:50","415","498"
Cycling,2022-08-08 07:58:12,false,"Arlington Cycling","27.35","737","03:15:39","108","124","0","0","8.4","14.9","56","108","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","14:12.74.7","6","0.0","02:48:23","03:28:54","453","509"
Cycling,2022-08-07 12:35:25,false,"Arlington Cycling","8.21","333","01:02:47","118","132","0","0","7.8","15.6","157","184","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","26:11.95.9","2","0.0","01:00:33","01:02:47","625","711"
Walking,2022-08-06 10:47:53,false,"Keller Walking","0.95","96","00:19:57","115","126","102","150","21:02","17:44","49","75","0.75","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:56.57.2","1","0.0","00:19:45","00:24:40","652","697"
Cycling,2022-08-06 07:25:02,false,"Arlington Cycling","16.48","525","02:01:53","112","136","0","0","8.1","15.5","148","213","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","16:06.03.9","4","0.0","01:46:18","02:01:53","437","585"
Cycling,2022-08-04 07:38:52,false,"Arlington Cycling","16.99","565","02:00:49","116","142","0","0","8.4","15.5","36","98","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","13:13.94.2","4","0.0","01:44:35","02:00:49","310","473"
Cycling,2022-08-03 08:09:59,false,"Arlington Cycling","6.76","310","01:09:26","109","137","0","0","5.8","15.2","144","180","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","21:20.50.4","2","0.0","00:59:17","01:09:26","524","617"
Walking,2022-08-03 07:41:45,false,"Arlington Walking","1.09","72","00:18:22","77","106","125","133","16:55","15:22","13","13","0.76","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","18:22.04.2","1","0.0","00:18:18","00:18:32","592","610"
Cycling,2022-08-02 07:36:02,false,"Arlington Cycling","29.13","1,369","04:30:58","126","145","0","0","6.5","16.8","102","98","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","30:03.75.4","6","0.0","03:09:22","04:30:58","408","624"
Cycling,2022-08-01 08:08:03,false,"Arlington Cycling","12.80","338","01:32:37","101","130","0","0","8.3","14.8","112","164","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:23.49.4","3","0.0","01:31:29","01:32:37","419","570"
Walking,2022-07-31 11:52:24,false,"Arlington Walking","3.93","422","01:43:24","103","122","105","156","26:19","8:33","46","52","0.58","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:43:24.01.8","1","0.0","01:42:52","01:46:19","663","708"
Cycling,2022-07-29 07:34:45,false,"Arlington Cycling","25.35","670","03:13:35","101","131","0","0","7.9","37.5","371","358","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:56.68.8","6","0.0","02:37:40","03:13:35","357","518"
Walking,2022-07-26 13:19:15,false,"Arlington Walking","0.39","41","00:09:10.0","114","127","89","112","23:12","6:54","13","--","0.78","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","09:10.03.4","1","0.0","00:08:53","00:11:34","587","644"
Walking,2022-07-26 10:42:02,false,"Arlington Walking","4.30","444","01:20:30","121","138","114","131","18:44","4:33","794","797","0.75","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:20:29.86.3","1","0.0","01:20:00","01:24:44","358","476"
Walking,2022-07-23 13:15:51,false,"Arlington Walking","0.49","49","00:10:43","105","126","70","122","22:06","4:30","7","7","1.05","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","10:43.14.8","1","0.0","00:10:19","00:11:52","667","688"
Walking,2022-07-22 12:35:25,false,"Arlington Walking","0.51","36","00:07:28.5","103","113","93","129","14:34","2:33","7","--","1.19","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","07:28.45.9","1","0.0","00:07:09","00:09:22.5","747","765"
Walking,2022-07-22 11:24:55,false,"Arlington Walking","0.38","37","00:08:56.3","96","108","73","121","23:40","20:23","--","--","0.94","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:56.30.1","1","0.0","00:08:42","00:09:38.3","746","763"
Walking,2022-07-21 11:34:43,false,"Arlington Walking","4.20","420","01:52:58","104","118","110","145","26:53","9:04","59","95","0.55","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:52:58.20.8","1","0.0","01:52:26","01:56:33","593","659"
Walking,2022-07-20 12:12:39,false,"Arlington Walking","4.87","576","01:39:23","133","153","105","148","20:25","15:58","820","853","0.75","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:39:23.36.7","1","0.0","01:38:20","02:14:39","531","639"
Cycling,2022-07-20 06:56:49,false,"Arlington Cycling","14.36","471","01:42:50","110","129","0","0","8.4","14.8","108","210","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","31:38.86.2","3","0.0","01:39:18","01:43:48","461","580"
Walking,2022-07-19 10:03:15,false,"Arlington Walking","6.12","682","03:01:59","99","129","99","148","29:44","15:08","89","79","0.55","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:01:59.03.2","1","0.0","03:01:40","03:12:52","674","725"
Walking,2022-07-18 12:01:28,false,"Arlington Walking","3.09","341","01:32:37","96","123","110","148","29:58","15:53","43","30","0.49","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:32:37.14.6","1","0.0","01:32:33","01:34:23","684","721"
Walking,2022-07-17 13:55:32,false,"Arlington Walking","3.93","379","01:49:18","101","120","105","202","27:46","11:59","46","16","0.55","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:49:18.17.9","1","0.0","01:48:31","01:56:07","682","716"
Cycling,2022-07-15 07:37:36,false,"Arlington Cycling","27.67","937","03:38:16","113","132","0","0","7.6","21.3","879","899","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:36.92.6","6","0.0","03:31:12","03:54:45","417","633"
Walking,2022-07-14 11:24:33,false,"Arlington Walking","6.75","589","02:46:06","96","117","113","156","24:36","11:27","66","98","0.58","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:46:06.00.7","1","0.0","02:45:34","02:52:16","639","705"
Cycling,2022-07-13 07:05:14,false,"Arlington Cycling","26.60","917","03:28:30","115","156","0","0","7.7","20.5","548","600","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","11:26.93.9","6","0.0","03:15:47","03:37:46","489","614"
Walking,2022-07-12 10:54:09,false,"Arlington Walking","4.41","399","01:46:20","102","122","112","148","24:07","14:27","33","59","0.59","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:46:20.45","1","0.0","01:46:19","01:46:35","650","681"
Cycling,2022-07-11 07:44:34,false,"Arlington Cycling","22.01","791","03:31:53","105","129","0","0","6.2","18.8","397","436","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","15:14.33.8","5","0.0","03:04:31","03:31:53","497","685"
Walking,2022-07-10 11:45:49,false,"Arlington Walking","3.48","340","01:35:05","100","114","107","185","27:21","14:01","49","46","0.55","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:35:04.80.7","1","0.0","01:35:04","01:35:40","673","708"
Walking,2022-07-09 11:09:42,false,"Arlington Walking","2.80","303","01:17:53","103","130","110","148","27:48","17:19","43","26","0.52","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:17:53.13.4","1","0.0","01:17:49","01:18:33","805","842"
