Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2022-06-30 09:18:09,false,"Arlington Walking","2.05","214","00:57:36","100","123","111","138","28:10","13:22","16","16","0.51","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","57:36.17.8","1","0.0","00:57:26","00:58:25","661","691"
Walking,2022-06-29 19:19:37,false,"Arlington Walking","0.17","21","00:05:16.2","112","121","79","117","30:16","22:48","7","--","0.67","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","05:16.16.6","1","0.0","00:05:07","00:05:20.2","572","598"
Cycling,2022-06-29 07:59:26,false,"Arlington Cycling","27.17","1,007","04:21:54","108","151","0","0","6.2","20.5","1,093","1,125","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","15:05.17.4","6","0.0","04:03:40","04:46:40","446","620"
Walking,2022-06-28 07:59:51,false,"Arlington Walking","5.57","579","01:45:30","113","134","119","141","18:56","14:40","1,808","1,906","0.71","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:45:30.35.8","1","0.0","01:44:45","01:52:11","252","503"
Cycling,2022-06-27 07:29:14,false,"Arlington Cycling","20.60","831","03:11:26","113","147","0","0","6.5","18.6","797","866","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:41.17.8","5","0.0","02:55:25","03:26:04","470","612"
Walking,2022-06-25 09:29:34,false,"Arlington Walking","0.62","62","00:11:58","107","119","113","137","19:26","16:43","13","13","0.74","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","11:57.90.6","1","0.0","00:11:51","00:12:11","653","672"
Cycling,2022-06-24 23:08:02,false,"Cycling","0.00","--","00:00:05.0","86","86","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:05.01.9","1","0.0","00:00:00","00:00:05.0","593","593"
Cycling,2022-06-24 08:23:16,false,"Arlington Cycling","20.35","931","03:06:26","118","143","0","0","6.5","19.6","872","875","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:41.43.4","5","0.0","02:47:53","03:09:22","548","643"
Walking,2022-06-23 10:48:57,false,"Arlington Walking","0.49","71","00:14:31","113","125","62","156","29:30","11:35","10","--","0.89","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","14:31.17.1","1","0.0","00:13:40","00:18:25","582","600"
Walking,2022-06-23 08:38:35,false,"Arlington Walking","4.25","444","01:41:31","108","136","112","137","23:52","3:13","203","315","0.60","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:41:31.31.7","1","0.0","01:41:05","01:43:21","555","688"
