Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2022-06-22 07:14:56,false,"Arlington Cycling","19.12","776","02:56:07","111","138","0","0","6.5","20.6","659","764","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","30:49.92","4","0.0","02:45:29","03:01:06","442","596"
Walking,2022-06-21 07:41:47,false,"Arlington Walking","6.19","633","01:45:46","115","127","125","133","17:04","14:31","1,394","1,440","0.76","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:45:45.71.6","1","0.0","01:45:20","01:51:10","234","423"
Cycling,2022-06-20 07:25:48,false,"Arlington Cycling","15.99","697","02:26:38","113","143","0","0","6.5","21.9","463","515","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","06:54.73","4","0.0","02:13:19","02:26:38","496","614"
Cycling,2022-06-18 09:45:20,false,"Arlington Cycling","12.06","479","01:41:19","111","133","0","0","7.1","19.3","325","289","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","16:11.66.6","3","0.0","01:36:01","01:51:48","522","638"
Walking,2022-06-18 07:30:06,false,"Arlington Walking","2.38","253","00:49:53","99","121","108","137","20:55","15:32","348","331","0.71","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","49:52.55.2","1","0.0","00:48:46","00:53:58","362","461"
Cycling,2022-06-17 11:04:51,false,"Arlington Cycling","10.17","433","01:24:37","111","133","0","0","7.2","17.7","246","325","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:11.66.2","3","0.0","01:20:34","01:26:28","430","542"
Walking,2022-06-16 07:26:55,false,"Arlington Walking","5.87","447","01:22:07","104","119","114","165","14:00","1:35","262","463","1.01","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:22:07.39.7","1","0.0","01:21:18","01:26:29","468","621"
Cycling,2022-06-15 07:14:05,false,"Arlington Cycling","17.06","635","02:30:00","107","132","0","0","6.8","21.3","335","404","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","15:56.34.1","4","0.0","02:23:32","02:40:33","464","558"
Cycling,2022-06-13 08:03:29,false,"Arlington Cycling","12.34","460","01:52:13","103","135","0","0","6.6","13.8","92","154","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","21:42.79.6","3","0.0","01:43:21","01:57:46","745","942"
Walking,2022-06-12 14:58:05,false,"Arlington Walking","3.76","321","01:24:32","96","111","94","156","22:28","1:47","16","20","0.76","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:24:32.49.7","1","0.0","01:24:01","01:30:05","1,027","1,060"
