Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2022-11-12 15:21:37,false,"Arlington Cycling","5.46","410","00:58:57","129","147","0","0","5.6","14.5","43","79","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","10:48.54.9","2","0.0","00:52:02","00:58:59","539","576"
Walking,2022-11-12 13:42:57,false,"Arlington Walking","0.23","45","00:12:04","105","134","51","165","51:23","16:48","7","--","0.61","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","12:04.44","1","0.0","00:09:13","01:14:18","513","522"
Walking,2022-11-10 13:25:36,false,"Arlington Walking","2.19","205","00:41:57","101","116","115","135","19:08","16:26","56","36","0.73","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","41:57.44.7","1","0.0","00:41:48","00:42:09","515","568"
Cycling,2022-11-09 14:36:03,false,"Arlington Cycling","13.60","481","02:18:22","101","133","0","0","5.9","22.0","420","407","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","37:51.29.5","3","0.0","02:17:03","02:18:22","547","650"
Walking,2022-11-09 12:28:17,false,"Arlington Walking","0.95","33","00:07:59.2","100","112","80","119","8:26","2:34","13","46","2.38","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","07:59.21.7","1","0.0","00:07:34","00:09:02.2","576","721"
Walking,2022-11-08 10:03:50,false,"Arlington Walking","6.59","639","02:07:25","101","122","114","127","19:21","14:59","253","233","0.73","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:07:25.15.3","1","0.0","02:06:33","02:40:20","617","754"
Cycling,2022-11-07 10:45:13,false,"Arlington Cycling","12.73","417","02:14:01","94","143","0","0","5.7","21.1","384","348","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","27:55.05.6","3","0.0","02:09:05","02:14:01","625","712"
Cycling,2022-11-06 12:20:31,false,"Arlington Cycling","15.03","554","02:32:55","104","132","0","0","5.9","22.5","479","466","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:35.37.4","4","0.0","02:31:54","03:18:14","624","715"
Walking,2022-11-05 15:06:55,false,"Arlington Walking","5.38","514","01:32:31","111","124","122","133","17:12","14:59","69","56","0.77","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:32:30.79.9","1","0.0","01:32:29","01:32:41","632","657"
Walking,2022-11-05 12:02:18,false,"Arlington Walking","0.11","34","00:08:31.1","104","146","55","156","--","18:19","--","--","0.37","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:31.08.8","1","0.0","00:06:01","01:10:23","633","739"
Cycling,2022-11-02 11:44:38,false,"Arlington Cycling","20.24","719","04:04:27","91","119","0","0","5.0","19.0","797","659","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:20.65.1","5","0.0","03:36:17","04:07:03","556","765"
Walking,2022-11-01 13:42:47,false,"Arlington Walking","4.74","448","01:25:04","103","120","119","127","17:56","15:48","98","85","0.76","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:25:04.09.4","1","0.0","01:25:02","01:25:16","614","654"
Cycling,2022-10-31 12:04:09,false,"Arlington Cycling","25.27","867","03:58:33","105","135","0","0","6.4","21.3","942","863","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:45.47.4","6","0.0","03:28:49","03:58:33","499","723"
Walking,2022-10-30 14:27:16,false,"Arlington Walking","5.48","541","01:40:26","109","131","119","130","18:19","14:14","492","479","0.74","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:40:26.04.5","1","0.0","01:39:44","01:44:13","531","738"
Cycling,2022-10-27 11:11:24,false,"Arlington Cycling","30.21","1,083","04:45:25","108","148","0","0","6.4","21.2","1,102","981","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:41.97.7","7","0.0","04:18:00","04:45:25","469","740"
Cycling,2022-10-26 13:34:35,false,"Arlington Cycling","12.46","368","01:31:39","106","134","0","0","8.2","16.0","251","252","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","18:21.72.7","3","0.0","01:25:29","01:31:39","553","594"
Walking,2022-10-24 16:02:00,false,"Arlington Walking","3.40","320","01:03:11","99","114","115","127","18:35","15:27","194","210","0.75","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:03:10.71.8","1","0.0","01:03:01","01:03:31","474","549"
Cycling,2022-10-22 12:06:46,false,"Arlington Cycling","22.37","776","03:23:10","111","137","0","0","6.6","21.2","902","807","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","22:07.65.5","5","0.0","03:08:21","03:23:10","560","793"
Walking,2022-10-21 14:01:45,false,"Arlington Walking","2.07","201","00:42:16","114","127","108","125","20:23","17:19","62","72","0.73","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","42:15.95.8","1","0.0","00:41:56","00:43:41","623","699"
Walking,2022-10-21 10:37:01,false,"Arlington Walking","1.92","191","00:38:03","106","126","112","126","19:47","17:01","112","49","0.72","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","38:03.19.7","1","0.0","00:37:55","00:38:16","605","719"
