Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2022-10-14 10:50:41,false,"Arlington Walking","4.86","493","01:29:23","97","146","116","135","18:23","14:22","554","541","0.75","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:29:23.05.8","1","0.0","01:29:05","01:55:58","535","680"
Walking,2022-10-13 11:47:01,false,"Arlington Walking","4.13","411","01:14:10","109","128","117","127","17:58","5:27","95","177","0.76","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:14:10.09.9","1","0.0","01:13:38","01:22:15","455","570"
Cycling,2022-10-12 13:18:49,false,"Arlington Cycling","16.18","530","01:49:45","114","131","0","0","8.8","21.7","269","230","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:13.15.1","4","0.0","01:47:39","01:56:20","512","573"
Cycling,2022-10-10 12:32:40,false,"Arlington Cycling","19.82","740","03:06:03","111","127","0","0","6.4","19.1","640","564","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","43:01.00.7","4","0.0","02:47:19","03:40:12","568","764"
Cycling,2022-10-08 12:05:46,false,"Arlington Cycling","15.62","647","02:41:08","107","133","0","0","5.8","16.3","607","541","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:59.80.9","4","0.0","02:14:45","02:59:09","562","752"
Cycling,2022-10-07 13:10:32,false,"Arlington Cycling","18.69","702","03:09:57","106","137","0","0","5.9","20.5","623","577","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","35:18.88.7","4","0.0","02:43:47","03:09:57","540","728"
Cycling,2022-10-06 11:10:08,false,"Arlington Cycling","17.12","676","02:49:03","106","141","0","0","6.1","15.7","476","423","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","14:59.30.9","4","0.0","02:20:38","03:40:37","549","738"
Cycling,2022-10-05 09:25:02,false,"Arlington Cycling","23.33","893","03:47:18","109","133","0","0","6.2","16.2","863","833","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","29:02.77","5","0.0","03:22:31","03:50:30","489","702"
Cycling,2022-10-04 10:56:43,false,"Arlington Cycling","16.26","607","02:42:11","104","140","0","0","6.0","16.4","558","515","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","09:23.44","4","0.0","02:22:06","02:42:11","554","724"
Cycling,2022-10-03 11:58:05,false,"Arlington Cycling","20.45","798","03:14:14","109","130","0","0","6.3","16.9","774","696","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:06.23.1","5","0.0","02:52:39","04:25:22","502","751"
